entity,thing,type1
Tony Blair Biography," May 6, 1953",Birthday
Tony Blair Biography, British,Nationality
Tony Blair Biography," 
Quotes By Tony Blair 

Political Leaders 
",Famous
Tony Blair Biography, Taurus,Sun Sign
Tony Blair Biography," 65 Years, 65 Year Old Males",Age
Tony Blair Biography, Anthony Charles Lynton Blair,Also Known As
Tony Blair Biography, Edinburgh,Born in
Tony Blair Biography, Prime Minister of Britain,Famous as
Tony Blair Biography, 1.83 m,Height
Tony Blair Biography, British Labour Party,political ideology
Tony Blair Biography, Cherie Booth,Spouse/Ex-
Tony Blair Biography, Leo,father
Tony Blair Biography, Hazel Blair,mother
Tony Blair Biography, William J. L. Blair,siblings
Tony Blair Biography," Euan Blair, Kathryn Blair, Leo Blair, Nicky Blair",children
Tony Blair Biography, Roman Catholicism,religion
Tony Blair Biography," $77.1 Million as of Jun 12, 2015",Net worth
Tony Blair Biography," St John's College, Oxford (1976), Fettes College, Chorister School, Durham, University of Oxford",education
Tony Blair Biography, 2009 - Presidential Medal of Freedom 2009 - Dan David Prize 2003 - Congressional Gold Medal ,awards
Grover Cleveland Biography," March 18, 1837",Birthday
Grover Cleveland Biography, American,Nationality
Grover Cleveland Biography," 
Quotes By Grover Cleveland 

Presidents 
",Famous
Grover Cleveland Biography, Pisces,Sun Sign
Grover Cleveland Biography, 71,Died At Age
Grover Cleveland Biography, Mayor Grover Cleveland,Also Known As
Grover Cleveland Biography, Caldwell,Born in
Grover Cleveland Biography, President of the U.S.A,Famous as
Grover Cleveland Biography, Political party - Democratic,political ideology
Grover Cleveland Biography, Frances Folsom Cleveland Preston,Spouse/Ex-
Grover Cleveland Biography, Richard Falley Cleveland,father
Grover Cleveland Biography, Ann Neal Cleveland,mother
Grover Cleveland Biography, Rose Cleveland,siblings
Grover Cleveland Biography," Esther Cleveland, Ruth Cleveland",children
Grover Cleveland Biography, Presbyterianism,religion
Grover Cleveland Biography," June 24, 1908",Died on
Grover Cleveland Biography, Princeton,place of death
Grover Cleveland Biography, Democrats,Ideology
Grover Cleveland Biography, New Jersey,"City, States, Provinces & Districts"
Grover Cleveland Biography, Interstate Commerce Commission,Founder/Co-Founder
Grover Cleveland Biography, Fishing and Hunting,Hobbies
Sarah Palin Biography," Sarita, Alaskan Evita, Caribou Barbie, Sarah Barracuda, Bayonetta",Nick Name
Sarah Palin Biography," February 11, 1964",Birthday
Sarah Palin Biography, American,Nationality
Sarah Palin Biography," 
Quotes By Sarah Palin 

Political Leaders 
",Famous
Sarah Palin Biography, Aquarius,Sun Sign
Sarah Palin Biography," 54 Years, 54 Year Old Females",Age
Sarah Palin Biography, Sarah Louise Palin,Also Known As
Sarah Palin Biography, Sandpoint,Born in
Sarah Palin Biography, Former Governor of Alaska,Famous as
Sarah Palin Biography, 1.65 m,Height
Sarah Palin Biography, Political party - Republican,political ideology
Sarah Palin Biography, Todd Palin,Spouse/Ex-
Sarah Palin Biography, Charles R. Heath,father
Sarah Palin Biography, Sarah Heath,mother
Sarah Palin Biography," Chuck Heath, Heather Bruce, Molly Heath McCann",siblings
Sarah Palin Biography," Bristol Palin, Piper Palin, Track Palin, Trig Palin, Willow Palin",children
Sarah Palin Biography," Evangelicalism, Pentecostalism, Protestantism, Assemblies of God, Nondenominational Christianity, Catholicism",religion
Sarah Palin Biography, ESFJ,Personality
Sarah Palin Biography, Idaho,"City, States, Provinces & Districts"
Sarah Palin Biography, Pacific University,Notable Alumni
Jeremy Corbyn Biography," May 26, 1949",Birthday
Jeremy Corbyn Biography, British,Nationality
Jeremy Corbyn Biography," 
Political Leaders 

British Men 
",Famous
Sarah Palin Biography, Republicans,Ideology
Sarah Palin Biography, SarahPAC,Founder/Co-Founder
Sarah Palin Biography," $20 million as of Aug 3, 2016",Net worth
Sarah Palin Biography," 1982 - Hawaii Pacific University, 1983 - North Idaho College, 1985 - Matanuska–Susitna College, 1987 - University of Idaho, University of Hawaii at Hilo, Wasilla High School",education
Jeremy Corbyn Biography, Gemini,Sun Sign
Jeremy Corbyn Biography," 69 Years, 69 Year Old Males",Age
Jeremy Corbyn Biography, Jeremy Bernard Corbyn,Also Known As
Jeremy Corbyn Biography, Chippenham,Born in
Jeremy Corbyn Biography," Politician, Trade Unionist",Famous as
Jeremy Corbyn Biography," Claudia Bracchitta (m. 1987; div. 1999), Jane Chapman (m. 1974; div. 1979), Laura Álvarez (m. 2013)",Spouse/Ex-
Jeremy Corbyn Biography, David Benjamin Corbyn,father
Jeremy Corbyn Biography, Naomi Loveday,mother
Jeremy Corbyn Biography, Piers Corbyn,siblings
Jeremy Corbyn Biography," Adams' Grammar School, North London Polytechnic",education
Jeremy Corbyn Biography, Gandhi International Peace Award,awards
Aaron Burr Biography," February 6, 1756",Birthday
Aaron Burr Biography, American,Nationality
Aaron Burr Biography," 
Quotes By Aaron Burr 

Political Leaders 
",Famous
Aaron Burr Biography, Aquarius,Sun Sign
Aaron Burr Biography, 80,Died At Age
Aaron Burr Biography, Newark,Born in
Aaron Burr Biography, 3rd Vice President of United States,Famous as
Aaron Burr Biography, Democratic-Republican,political ideology
Aaron Burr Biography," Eliza Bowen Jumel, Theodosia Bartow Prevost",Spouse/Ex-
Aaron Burr Biography, Rev. Aaron Burr,father
Aaron Burr Biography, Esther Edwards,mother
Aaron Burr Biography," Sarah, Theodosia Bartow Burr",children
Aaron Burr Biography, Presbyterianism,religion
Aaron Burr Biography," September 14, 1836",Died on
Aaron Burr Biography, Staten Island,place of death
Aaron Burr Biography, New Jersey,"City, States, Provinces & Districts"
Aaron Burr Biography, Republicans,Ideology
Aaron Burr Biography, College of New Jersey,education
Sonia Gandhi Biography," December 9, 1946",Birthday
Sonia Gandhi Biography, Indian,Nationality
Sonia Gandhi Biography," 
Quotes By Sonia Gandhi 

Political Leaders 
",Famous
Sonia Gandhi Biography, Sagittarius,Sun Sign
Sonia Gandhi Biography," 72 Years, 72 Year Old Females",Age
Sonia Gandhi Biography," Sonia Maino, Edvige Antonia Albina Maino",Also Known As
Sonia Gandhi Biography, Lusiana,Born in
Sonia Gandhi Biography, President of Congress Party,Famous as
Sonia Gandhi Biography, 1.63 m,Height
Sonia Gandhi Biography, Political party - Indian National Congress,political ideology
Sonia Gandhi Biography, Rajiv Gandhi,Spouse/Ex-
Sonia Gandhi Biography, Stefano Maino,father
Sonia Gandhi Biography, Paola Maino,mother
Sonia Gandhi Biography," Priyanka Gandhi, Rahul Gandhi",children
Sonia Gandhi Biography," Catholicism, Christianity",religion
Sonia Gandhi Biography," $2 billion as of Apr 1, 2017",Net worth
Sonia Gandhi Biography, Bell Educational Trust,education
Andrés Manuel López Obrador Biography, AMLO,Nick Name
Andrés Manuel López Obrador Biography," November 13, 1953",Birthday
Andrés Manuel López Obrador Biography, Mexican,Nationality
Andrés Manuel López Obrador Biography," 
Political Leaders 

Mexican Men 
",Famous
Andrés Manuel López Obrador Biography, Scorpio,Sun Sign
Andrés Manuel López Obrador Biography," 65 Years, 65 Year Old Males",Age
Andrés Manuel López Obrador Biography, Macuspana,Born in
Andrés Manuel López Obrador Biography, Politician,Famous as
Andrés Manuel López Obrador Biography, 1.73 m,Height
Andrés Manuel López Obrador Biography," Beatriz Gutiérrez Müller (m. 2006), Rocío Beltrán Medina (m. 1979–2003)",Spouse/Ex-
Andrés Manuel López Obrador Biography," Andrés Manuel López Beltrán, Gonzalo Alfonso López Beltrán, Jesús Ernesto López Gutiérrez, José Ramón López Beltrán",children
Andrés Manuel López Obrador Biography, Catholicism,religion
Andrés Manuel López Obrador Biography, National Autonomous University Of Mexico,Notable Alumni
Andrés Manuel López Obrador Biography, Party of the Democratic Revolution,Founder/Co-Founder
Andrés Manuel López Obrador Biography, National Autonomous University of Mexico,education
Mohammed bin Rashid Al Maktoum Biography," July 15, 1949",Birthday
Mohammed bin Rashid Al Maktoum Biography, Emirati,Nationality
Mohammed bin Rashid Al Maktoum Biography," 
Prime Ministers 

Political Leaders 
",Famous
Mohammed bin Rashid Al Maktoum Biography, Cancer,Sun Sign
Mohammed bin Rashid Al Maktoum Biography," 69 Years, 69 Year Old Males",Age
Mohammed bin Rashid Al Maktoum Biography, Sheikh Mohammed bin Rashid Al Maktoum,Also Known As
Mohammed bin Rashid Al Maktoum Biography, United Arab Emirates,Born Country
Mohammed bin Rashid Al Maktoum Biography, Dubai,Born in
Mohammed bin Rashid Al Maktoum Biography, Ruler of Dubai,Famous as
Mohammed bin Rashid Al Maktoum Biography," Haya bint Al Hussein (m. 2004), Hind bint Maktoum bin Juma Al Maktoum (m. 1979)",Spouse/Ex-
Mohammed bin Rashid Al Maktoum Biography, Rashid bin Saeed Al Maktoum,father
Mohammed bin Rashid Al Maktoum Biography, Latifa bint Hamdan Al Nahyan,mother
Mohammed bin Rashid Al Maktoum Biography," Hamdan bin Mohammed Al Maktoum, Hessa bint Mohammed bin Rashid Al Maktoum, Latifa bint Mohammed bin Rashid Al Maktoum (III), Maktoum bin Mohammed Al Maktoum, Manal bint Mohammed bin Rashid Al Maktoum, Maryam bint Mohammed bin Rashed Al Maktoum (I), Rashid bin Mohammed Al Maktoum, Shaikha bint Mohammed bin Rashed Al Maktoum",children
Mohammed bin Rashid Al Maktoum Biography, Sunni Islam,religion
Nikita Khrushchev Biography," April 15, 1894",Birthday
Nikita Khrushchev Biography, Russian,Nationality
Nikita Khrushchev Biography," 
Prime Ministers 

Political Leaders 
",Famous
Nikita Khrushchev Biography, Aries,Sun Sign
Nikita Khrushchev Biography, 77,Died At Age
Nikita Khrushchev Biography, Nikita Sergeyevich Khrushchev,Also Known As
Nikita Khrushchev Biography, Russia,Born Country
Nikita Khrushchev Biography," Kalinovka, Dmitriyevsky Uyezd, Kursk Governorate, Russian Empire",Born in
Nikita Khrushchev Biography, Prime Minister of Soviet Union,Famous as
Nikita Khrushchev Biography, Communist Party of the Soviet Union,political ideology
Nikita Khrushchev Biography," Marusia Khrushcheva (m. 1922), Nina Khrushcheva (m. 1923–1971), Yefrosinia Khrushcheva (m. 1916–1919)",Spouse/Ex-
Nikita Khrushchev Biography, Sergei Khrushchev,father
Nikita Khrushchev Biography, Ksenia Khrushcheva,mother
Nikita Khrushchev Biography, Irina,siblings
Nikita Khrushchev Biography," Elena Khrushchev, Leonid Khrushchev, Rada Khrushchev, Sergei Khrushchev, Yulia Khrushchev",children
Nikita Khrushchev Biography," September 11, 1971",Died on
Nikita Khrushchev Biography," Moscow, Russian SFSR, Soviet Union",place of death
Nikita Khrushchev Biography, Communists,Ideology
Muhammad Ali Jinnah Biography," December 25, 1876",Birthday
Muhammad Ali Jinnah Biography, Pakistani,Nationality
Muhammad Ali Jinnah Biography," 
Quotes By Muhammad Ali Jinnah 

Political Leaders 
",Famous
Muhammad Ali Jinnah Biography, Capricorn,Sun Sign
Muhammad Ali Jinnah Biography, 71,Died At Age
Muhammad Ali Jinnah Biography, Karachi,Born in
Muhammad Ali Jinnah Biography," Indian National Congress (1906–20), All-India Muslim League (1913–47), Muslim League (1947–48)",political ideology
Muhammad Ali Jinnah Biography," Emibai Jinnah (m. 1892–1893), Rattanbai Petit (1918-1929)",Spouse/Ex-
Muhammad Ali Jinnah Biography, Jinnahbhai Poonja,father
Muhammad Ali Jinnah Biography, Mithibai,mother
Muhammad Ali Jinnah Biography," Fatima Jinnah, Shireen Jinnah",siblings
Muhammad Ali Jinnah Biography, Dina Jinnah,children
Muhammad Ali Jinnah Biography, Islam,religion
Muhammad Ali Jinnah Biography," September 11, 1948",Died on
Muhammad Ali Jinnah Biography, Karachi,place of death
Muhammad Ali Jinnah Biography, Tuberculosis,Cause of Death
Muhammad Ali Jinnah Biography," Trinity College, Oxford, University of Mumbai",education
Ross Perot Biography," June 27, 1930",Birthday
Ross Perot Biography, American,Nationality
Ross Perot Biography," 
Billionaires 

Political Leaders 
",Famous
Ross Perot Biography, Cancer,Sun Sign
Ross Perot Biography," 88 Years, 88 Year Old Males",Age
Ross Perot Biography, Henry Ross Perot,Also Known As
Ross Perot Biography," Texarkana, Texas",Born in
Ross Perot Biography, Independent U.S. Presidential Candidate,Famous as
Ross Perot Biography, 1.66 m,Height
Ross Perot Biography, Independent Reform,political ideology
Ross Perot Biography, Margot Birmingham,Spouse/Ex-
Ross Perot Biography, Gabriel Ross Perot,father
Ross Perot Biography, Lula May Perot (née Ray),mother
Ross Perot Biography," Carolyn, Katherine, Nancy, Ross Jr., Suzanne",children
Ross Perot Biography, Texas,"City, States, Provinces & Districts"
Ross Perot Biography," Perot Systems Corporation, Inc., Electronic Data Systems (EDS) ",Founder/Co-Founder
Ross Perot Biography," $3.9 billion as of Jun 29, 2017",Net worth
Ross Perot Biography," United States Naval Academy, Texarkana College, Texas High School",education
Andrew Johnson Biography," Sir Veto, The Tennessee Tailor, The Grim Presence",Nick Name
Andrew Johnson Biography," December 29, 1808",Birthday
Andrew Johnson Biography, American,Nationality
Andrew Johnson Biography," 
Quotes By Andrew Johnson 

Presidents 
",Famous
Andrew Johnson Biography, Capricorn,Sun Sign
Andrew Johnson Biography, 66,Died At Age
Andrew Johnson Biography," Raleigh, North Carolina, U.S.",Born in
Andrew Johnson Biography, Democratic,political ideology
Andrew Johnson Biography, Eliza McCardle Johnson,Spouse/Ex-
Andrew Johnson Biography, Jacob Johnson,father
Andrew Johnson Biography, Mary McDonough Johnson,mother
Andrew Johnson Biography," Elizabeth Johnson, William Johnson",siblings
Andrew Johnson Biography," Andrew Johnson Jr., Charles Johnson, Martha Johnson Patterson, Mary Johnson Stover Brown, Robert Johnson",children
Andrew Johnson Biography, Christian,religion
Andrew Johnson Biography," July 31, 1875",Died on
Andrew Johnson Biography," Elizabethton, Tennessee, U.S.",place of death
Andrew Johnson Biography, North Carolina,"City, States, Provinces & Districts"
